id,sample,metric,es,x,y,source,note,n1,n2,t1,t2,direction,x_name,y_name
91,1,r,0.036,pc,pd,text,competitive/cooperative - perceived discrimination (a),NA,NA,NA,NA,NA,Contact quality / Positive contact,Personal discrimination
91,1,r,0.119,pc,pd,text,superficial/intimate - perceived discrimination (a),NA,NA,NA,NA,NA,Contact quality / Positive contact,Personal discrimination
91,1,r,0.018,pc,pd,text,not equal/equal - perceived discrimination (a),NA,NA,NA,NA,NA,Contact quality / Positive contact,Personal discrimination
91,1,r,0.093,pc,pd,text,involuntary/voluntary - perceived discrimination (a),NA,NA,NA,NA,NA,Contact quality / Positive contact,Personal discrimination
91,1,r,0.124,pc,pd,text,negative/positive - perceived discrimination (a),NA,NA,NA,NA,NA,Contact quality / Positive contact,Personal discrimination
91,1,r,0.032,pc,pd,text,unpleasant/pleasant - perceived discrimination (b),NA,NA,NA,NA,NA,Contact quality / Positive contact,Personal discrimination
91,1,r,0.035,pc,pd,text,competitive/cooperative - perceived discrimination (b),NA,NA,NA,NA,NA,Contact quality / Positive contact,Personal discrimination
91,1,r,0.119,pc,pd,text,superficial/intimate - perceived discrimination (b),NA,NA,NA,NA,NA,Contact quality / Positive contact,Personal discrimination
91,1,r,0.018,pc,pd,text,not equal/equal - perceived discrimination (b),NA,NA,NA,NA,NA,Contact quality / Positive contact,Personal discrimination
91,1,r,0.093,pc,pd,text,involuntary/voluntary - perceived discrimination (b),NA,NA,NA,NA,NA,Contact quality / Positive contact,Personal discrimination
91,1,r,0.124,pc,pd,text,negative/positive - perceived discrimination (b),NA,NA,NA,NA,NA,Contact quality / Positive contact,Personal discrimination
91,1,r,0.032,pd,pc,text,unpleasant/pleasant - perceived discrimination (a),NA,NA,NA,NA,NA,Personal discrimination,Contact quality / Positive contact
91,1,r,0.036,pd,pc,text,competitive/cooperative - perceived discrimination (a),NA,NA,NA,NA,NA,Personal discrimination,Contact quality / Positive contact
91,1,r,0.119,pd,pc,text,superficial/intimate - perceived discrimination (a),NA,NA,NA,NA,NA,Personal discrimination,Contact quality / Positive contact
91,1,r,0.018,pd,pc,text,not equal/equal - perceived discrimination (a),NA,NA,NA,NA,NA,Personal discrimination,Contact quality / Positive contact
91,1,r,0.093,pd,pc,text,involuntary/voluntary - perceived discrimination (a),NA,NA,NA,NA,NA,Personal discrimination,Contact quality / Positive contact
91,1,r,0.124,pd,pc,text,negative/positive - perceived discrimination (a),NA,NA,NA,NA,NA,Personal discrimination,Contact quality / Positive contact
91,1,r,0.032,pd,pc,text,unpleasant/pleasant - perceived discrimination (b),NA,NA,NA,NA,NA,Personal discrimination,Contact quality / Positive contact
91,1,r,0.035,pd,pc,text,competitive/cooperative - perceived discrimination (b),NA,NA,NA,NA,NA,Personal discrimination,Contact quality / Positive contact
91,1,r,0.119,pd,pc,text,superficial/intimate - perceived discrimination (b),NA,NA,NA,NA,NA,Personal discrimination,Contact quality / Positive contact
91,1,r,0.018,pd,pc,text,not equal/equal - perceived discrimination (b),NA,NA,NA,NA,NA,Personal discrimination,Contact quality / Positive contact
91,1,r,0.093,pd,pc,text,involuntary/voluntary - perceived discrimination (b),NA,NA,NA,NA,NA,Personal discrimination,Contact quality / Positive contact
91,1,r,0.124,pd,pc,text,negative/positive - perceived discrimination (b),NA,NA,NA,NA,NA,Personal discrimination,Contact quality / Positive contact
91,1,r,1,pd,pd,text,NA,NA,NA,NA,NA,NA,Personal discrimination,Personal discrimination
91,1,r,1,pd,pd,text,unpleasant/pleasant - perceived discrimination (a),NA,NA,NA,NA,NA,Personal discrimination,Personal discrimination
91,1,r,1,pd,pd,text,competitive/cooperative - perceived discrimination (a),NA,NA,NA,NA,NA,Personal discrimination,Personal discrimination
91,1,r,1,pd,pd,text,superficial/intimate - perceived discrimination (a),NA,NA,NA,NA,NA,Personal discrimination,Personal discrimination
91,1,r,1,pd,pd,text,not equal/equal - perceived discrimination (a),NA,NA,NA,NA,NA,Personal discrimination,Personal discrimination
91,1,r,1,pd,pd,text,involuntary/voluntary - perceived discrimination (a),NA,NA,NA,NA,NA,Personal discrimination,Personal discrimination
91,1,r,1,pd,pd,text,negative/positive - perceived discrimination (a),NA,NA,NA,NA,NA,Personal discrimination,Personal discrimination
91,1,r,1,pd,pd,text,unpleasant/pleasant - perceived discrimination (b),NA,NA,NA,NA,NA,Personal discrimination,Personal discrimination
91,1,r,1,pd,pd,text,competitive/cooperative - perceived discrimination (b),NA,NA,NA,NA,NA,Personal discrimination,Personal discrimination
91,1,r,1,pd,pd,text,superficial/intimate - perceived discrimination (b),NA,NA,NA,NA,NA,Personal discrimination,Personal discrimination
91,1,r,1,pd,pd,text,not equal/equal - perceived discrimination (b),NA,NA,NA,NA,NA,Personal discrimination,Personal discrimination
91,1,r,1,pd,pd,text,involuntary/voluntary - perceived discrimination (b),NA,NA,NA,NA,NA,Personal discrimination,Personal discrimination
91,1,r,1,pd,pd,text,negative/positive - perceived discrimination (b),NA,NA,NA,NA,NA,Personal discrimination,Personal discrimination
93,1,r,1,ca,ca,text,NA,NA,NA,NA,NA,NA,Collective action,Collective action
93,1,r,0.15,ca,cq,text,NA,NA,NA,NA,NA,NA,Collective action,Contact quantity
93,1,r,0.43,ca,ge,text,NA,NA,NA,NA,NA,NA,Collective action,Group efficacy
93,1,r,0.15,cq,ca,text,NA,NA,NA,NA,NA,NA,Contact quantity,Collective action
93,1,r,1,cq,cq,text,NA,NA,NA,NA,NA,NA,Contact quantity,Contact quantity
93,1,r,0.13,cq,ge,text,NA,NA,NA,NA,NA,NA,Contact quantity,Group efficacy
93,1,r,0.43,ge,ca,text,NA,NA,NA,NA,NA,NA,Group efficacy,Collective action
93,1,r,0.13,ge,cq,text,NA,NA,NA,NA,NA,NA,Group efficacy,Contact quantity
93,1,r,1,ge,ge,text,NA,NA,NA,NA,NA,NA,Group efficacy,Group efficacy
244,1,d,0.43043679415456065,ic,pi,text,wrongfulness of race-based exclusion,59,70,NA,NA,NA,Intergroup contact (other),Perceived injustice (other)
244,1,d,-0.1230990953631068,ic,pi,text,frequency of race-based exclusion - lunch,59,70,NA,NA,NA,Intergroup contact (other),Perceived injustice (other)
244,1,d,0.16898393067914558,ic,pi,text,frequency of race-based exclusion - sleepover,59,70,NA,NA,NA,Intergroup contact (other),Perceived injustice (other)
244,1,d,-0.14863507919185961,ic,pi,text,frequency of race-based exclusion - dance,59,70,NA,NA,NA,Intergroup contact (other),Perceived injustice (other)
284,1,r,1,ca,ca,text,NA,NA,NA,NA,NA,NA,Collective action,Collective action
284,1,r,-0.292,ca,cf,text,NA,NA,NA,NA,NA,NA,Collective action,Cross-group friendship
284,1,r,0.599,ca,ge,text,NA,NA,NA,NA,NA,NA,Collective action,Group efficacy
284,1,r,0.505,ca,gi,text,NA,NA,NA,NA,NA,NA,Collective action,Group identificaiton
284,1,r,0.339,ca,ps,text,NA,NA,NA,NA,NA,NA,Collective action,Policy support
284,1,r,0.312,ca,rd,text,NA,NA,NA,NA,NA,NA,Collective action,Relative deprivation
284,1,r,-0.292,cf,ca,text,NA,NA,NA,NA,NA,NA,Cross-group friendship,Collective action
284,1,r,1,cf,cf,text,NA,NA,NA,NA,NA,NA,Cross-group friendship,Cross-group friendship
284,1,r,-0.126,cf,ge,text,NA,NA,NA,NA,NA,NA,Cross-group friendship,Group efficacy
284,1,r,-0.273,cf,gi,text,NA,NA,NA,NA,NA,NA,Cross-group friendship,Group identificaiton
284,1,r,-0.27,cf,ps,text,NA,NA,NA,NA,NA,NA,Cross-group friendship,Policy support
284,1,r,-0.258,cf,rd,text,NA,NA,NA,NA,NA,NA,Cross-group friendship,Relative deprivation
284,1,r,0.599,ge,ca,text,NA,NA,NA,NA,NA,NA,Group efficacy,Collective action
284,1,r,-0.126,ge,cf,text,NA,NA,NA,NA,NA,NA,Group efficacy,Cross-group friendship
284,1,r,1,ge,ge,text,NA,NA,NA,NA,NA,NA,Group efficacy,Group efficacy
284,1,r,0.487,ge,gi,text,NA,NA,NA,NA,NA,NA,Group efficacy,Group identificaiton
284,1,r,0.252,ge,ps,text,NA,NA,NA,NA,NA,NA,Group efficacy,Policy support
284,1,r,0.076,ge,rd,text,NA,NA,NA,NA,NA,NA,Group efficacy,Relative deprivation
284,1,r,0.505,gi,ca,text,NA,NA,NA,NA,NA,NA,Group identificaiton,Collective action
284,1,r,-0.273,gi,cf,text,NA,NA,NA,NA,NA,NA,Group identificaiton,Cross-group friendship
284,1,r,0.487,gi,ge,text,NA,NA,NA,NA,NA,NA,Group identificaiton,Group efficacy
284,1,r,1,gi,gi,text,NA,NA,NA,NA,NA,NA,Group identificaiton,Group identificaiton
284,1,r,0.163,gi,ps,text,NA,NA,NA,NA,NA,NA,Group identificaiton,Policy support
284,1,r,0.06,gi,rd,text,NA,NA,NA,NA,NA,NA,Group identificaiton,Relative deprivation
284,1,r,0.339,ps,ca,text,NA,NA,NA,NA,NA,NA,Policy support,Collective action
284,1,r,-0.27,ps,cf,text,NA,NA,NA,NA,NA,NA,Policy support,Cross-group friendship
284,1,r,0.252,ps,ge,text,NA,NA,NA,NA,NA,NA,Policy support,Group efficacy
284,1,r,0.163,ps,gi,text,NA,NA,NA,NA,NA,NA,Policy support,Group identificaiton
284,1,r,1,ps,ps,text,NA,NA,NA,NA,NA,NA,Policy support,Policy support
284,1,r,0.305,ps,rd,text,NA,NA,NA,NA,NA,NA,Policy support,Relative deprivation
284,1,r,0.312,rd,ca,text,NA,NA,NA,NA,NA,NA,Relative deprivation,Collective action
284,1,r,-0.258,rd,cf,text,NA,NA,NA,NA,NA,NA,Relative deprivation,Cross-group friendship
284,1,r,0.076,rd,ge,text,NA,NA,NA,NA,NA,NA,Relative deprivation,Group efficacy
284,1,r,0.06,rd,gi,text,NA,NA,NA,NA,NA,NA,Relative deprivation,Group identificaiton
284,1,r,0.305,rd,ps,text,NA,NA,NA,NA,NA,NA,Relative deprivation,Policy support
284,1,r,1,rd,rd,text,NA,NA,NA,NA,NA,NA,Relative deprivation,Relative deprivation
286,1,r,1,cf,cf,text,NA,NA,NA,NA,NA,NA,Cross-group friendship,Cross-group friendship
286,1,r,-0.14,cf,ps,text,NA,NA,NA,NA,NA,NA,Cross-group friendship,Policy support
286,1,r,-0.14,ps,cf,text,NA,NA,NA,NA,NA,NA,Policy support,Cross-group friendship
286,1,r,1,ps,ps,text,NA,NA,NA,NA,NA,NA,Policy support,Policy support
303,1,r,1,cf,cf,text,NA,NA,NA,NA,NA,NA,Cross-group friendship,Cross-group friendship
303,1,r,-0.177,cf,pd,text,NA,NA,NA,NA,NA,NA,Cross-group friendship,Personal discrimination
303,1,r,-0.177,pd,cf,text,NA,NA,NA,NA,NA,NA,Personal discrimination,Cross-group friendship
303,1,r,1,pd,pd,text,NA,NA,NA,NA,NA,NA,Personal discrimination,Personal discrimination
322,1,r,1,ca,ca,text,NA,NA,NA,NA,NA,NA,Collective action,Collective action
322,1,r,0.29,ca,gi,text,NA,NA,NA,NA,NA,NA,Collective action,Group identificaiton
322,1,r,0.05,ca,nc,text,NA,NA,NA,NA,NA,NA,Collective action,Negative contact
322,1,r,-0.2,ca,oa,text,NA,NA,NA,NA,NA,NA,Collective action,Outgroup attitudes
322,1,r,-0.1,ca,pc,text,NA,NA,NA,NA,NA,NA,Collective action,Contact quality / Positive contact
322,1,r,0.24,ca,pd,text,NA,NA,NA,NA,NA,NA,Collective action,Personal discrimination
322,1,r,0.3,ca,rd,text,NA,NA,NA,NA,NA,NA,Collective action,Relative deprivation
322,1,r,0.29,gi,ca,text,NA,NA,NA,NA,NA,NA,Group identificaiton,Collective action
322,1,r,1,gi,gi,text,NA,NA,NA,NA,NA,NA,Group identificaiton,Group identificaiton
322,1,r,-0.04,gi,nc,text,NA,NA,NA,NA,NA,NA,Group identificaiton,Negative contact
322,1,r,-0.07,gi,oa,text,NA,NA,NA,NA,NA,NA,Group identificaiton,Outgroup attitudes
322,1,r,0.18,gi,pc,text,NA,NA,NA,NA,NA,NA,Group identificaiton,Contact quality / Positive contact
322,1,r,0.13,gi,pd,text,NA,NA,NA,NA,NA,NA,Group identificaiton,Personal discrimination
322,1,r,0.06,gi,rd,text,NA,NA,NA,NA,NA,NA,Group identificaiton,Relative deprivation
322,1,r,0.05,nc,ca,text,NA,NA,NA,NA,NA,NA,Negative contact,Collective action
322,1,r,-0.04,nc,gi,text,NA,NA,NA,NA,NA,NA,Negative contact,Group identificaiton
322,1,r,1,nc,nc,text,NA,NA,NA,NA,NA,NA,Negative contact,Negative contact
322,1,r,-0.08,nc,oa,text,NA,NA,NA,NA,NA,NA,Negative contact,Outgroup attitudes
322,1,r,0.09,nc,pc,text,NA,NA,NA,NA,NA,NA,Negative contact,Contact quality / Positive contact
322,1,r,-0.05,nc,pd,text,NA,NA,NA,NA,NA,NA,Negative contact,Personal discrimination
322,1,r,-0.07,nc,rd,text,NA,NA,NA,NA,NA,NA,Negative contact,Relative deprivation
322,1,r,-0.2,oa,ca,text,NA,NA,NA,NA,NA,NA,Outgroup attitudes,Collective action
322,1,r,-0.07,oa,gi,text,NA,NA,NA,NA,NA,NA,Outgroup attitudes,Group identificaiton
322,1,r,-0.08,oa,nc,text,NA,NA,NA,NA,NA,NA,Outgroup attitudes,Negative contact
322,1,r,1,oa,oa,text,NA,NA,NA,NA,NA,NA,Outgroup attitudes,Outgroup attitudes
322,1,r,0.45,oa,pc,text,NA,NA,NA,NA,NA,NA,Outgroup attitudes,Contact quality / Positive contact
322,1,r,-0.28,oa,pd,text,NA,NA,NA,NA,NA,NA,Outgroup attitudes,Personal discrimination
322,1,r,-0.32,oa,rd,text,NA,NA,NA,NA,NA,NA,Outgroup attitudes,Relative deprivation
322,1,r,-0.1,pc,ca,text,NA,NA,NA,NA,NA,NA,Contact quality / Positive contact,Collective action
322,1,r,0.18,pc,gi,text,NA,NA,NA,NA,NA,NA,Contact quality / Positive contact,Group identificaiton
322,1,r,0.09,pc,nc,text,NA,NA,NA,NA,NA,NA,Contact quality / Positive contact,Negative contact
322,1,r,0.45,pc,oa,text,NA,NA,NA,NA,NA,NA,Contact quality / Positive contact,Outgroup attitudes
322,1,r,1,pc,pc,text,NA,NA,NA,NA,NA,NA,Contact quality / Positive contact,Contact quality / Positive contact
322,1,r,-0.21,pc,pd,text,NA,NA,NA,NA,NA,NA,Contact quality / Positive contact,Personal discrimination
322,1,r,-0.25,pc,rd,text,NA,NA,NA,NA,NA,NA,Contact quality / Positive contact,Relative deprivation
322,1,r,0.24,pd,ca,text,NA,NA,NA,NA,NA,NA,Personal discrimination,Collective action
322,1,r,0.13,pd,gi,text,NA,NA,NA,NA,NA,NA,Personal discrimination,Group identificaiton
322,1,r,-0.05,pd,nc,text,NA,NA,NA,NA,NA,NA,Personal discrimination,Negative contact
322,1,r,-0.28,pd,oa,text,NA,NA,NA,NA,NA,NA,Personal discrimination,Outgroup attitudes
322,1,r,-0.21,pd,pc,text,NA,NA,NA,NA,NA,NA,Personal discrimination,Contact quality / Positive contact
322,1,r,1,pd,pd,text,NA,NA,NA,NA,NA,NA,Personal discrimination,Personal discrimination
322,1,r,0.3,pd,rd,text,NA,NA,NA,NA,NA,NA,Personal discrimination,Relative deprivation
322,1,r,0.3,rd,ca,text,NA,NA,NA,NA,NA,NA,Relative deprivation,Collective action
322,1,r,0.06,rd,gi,text,NA,NA,NA,NA,NA,NA,Relative deprivation,Group identificaiton
322,1,r,-0.07,rd,nc,text,NA,NA,NA,NA,NA,NA,Relative deprivation,Negative contact
322,1,r,-0.32,rd,oa,text,NA,NA,NA,NA,NA,NA,Relative deprivation,Outgroup attitudes
322,1,r,-0.25,rd,pc,text,NA,NA,NA,NA,NA,NA,Relative deprivation,Contact quality / Positive contact
322,1,r,0.3,rd,pd,text,NA,NA,NA,NA,NA,NA,Relative deprivation,Personal discrimination
322,1,r,1,rd,rd,text,NA,NA,NA,NA,NA,NA,Relative deprivation,Relative deprivation
324,1,r,1,oc,oc,author,NA,NA,NA,NA,NA,NA,Opportunity for contact,Opportunity for contact
324,1,r,0.0623,oc,pd,author,NA,NA,NA,NA,NA,NA,Opportunity for contact,Personal discrimination
324,1,r,0.0623,pd,oc,author,NA,NA,NA,NA,NA,NA,Personal discrimination,Opportunity for contact
324,1,r,1,pd,pd,author,NA,NA,NA,NA,NA,NA,Personal discrimination,Personal discrimination
324,2,r,1,oc,oc,author,NA,NA,NA,NA,NA,NA,Opportunity for contact,Opportunity for contact
324,2,r,0.0708,oc,pd,author,NA,NA,NA,NA,NA,NA,Opportunity for contact,Personal discrimination
324,2,r,0.0708,pd,oc,author,NA,NA,NA,NA,NA,NA,Personal discrimination,Opportunity for contact
324,2,r,1,pd,pd,author,NA,NA,NA,NA,NA,NA,Personal discrimination,Personal discrimination
325,1,r,1,cf,cf,text,NA,NA,NA,NA,NA,NA,Cross-group friendship,Cross-group friendship
325,1,r,-0.25,cf,pd,text,NA,NA,NA,NA,NA,NA,Cross-group friendship,Personal discrimination
325,1,r,-0.25,pd,cf,text,NA,NA,NA,NA,NA,NA,Personal discrimination,Cross-group friendship
325,1,r,1,pd,pd,text,NA,NA,NA,NA,NA,NA,Personal discrimination,Personal discrimination
336,1,r,1,cq,cq,text,NA,NA,NA,NA,NA,NA,Contact quantity,Contact quantity
336,1,r,0.04,cq,gd,text,NA,NA,NA,NA,NA,NA,Contact quantity,Group discrimination
336,1,r,-0.04,cq,gd,text,NA,NA,NA,NA,NA,NA,Contact quantity,Group discrimination
336,1,r,0.03,cq,oa,text,NA,NA,NA,NA,NA,NA,Contact quantity,Outgroup attitudes
336,1,r,0.41,cq,pc,text,NA,NA,NA,NA,NA,NA,Contact quantity,Contact quality / Positive contact
336,1,r,-0.05,cq,pd,text,NA,NA,NA,NA,NA,NA,Contact quantity,Personal discrimination
336,1,r,0.02,cq,pi,text,NA,NA,NA,NA,NA,NA,Contact quantity,Perceived injustice (other)
336,1,r,0,cq,rd,text,NA,NA,NA,NA,NA,NA,Contact quantity,Relative deprivation
336,1,r,-0.04,gd,cq,text,NA,NA,NA,NA,NA,NA,Group discrimination,Contact quantity
336,1,r,0.04,gd,cq,text,NA,NA,NA,NA,NA,NA,Group discrimination,Contact quantity
336,1,r,1,gd,gd,text,NA,NA,NA,NA,NA,NA,Group discrimination,Group discrimination
336,1,r,-0.23,gd,oa,text,NA,NA,NA,NA,NA,NA,Group discrimination,Outgroup attitudes
336,1,r,-0.22,gd,pc,text,NA,NA,NA,NA,NA,NA,Group discrimination,Contact quality / Positive contact
336,1,r,0.47,gd,pd,text,NA,NA,NA,NA,NA,NA,Group discrimination,Personal discrimination
336,1,r,0.05,gd,pi,text,NA,NA,NA,NA,NA,NA,Group discrimination,Perceived injustice (other)
336,1,r,0.09,gd,rd,text,NA,NA,NA,NA,NA,NA,Group discrimination,Relative deprivation
336,1,r,0.03,oa,cq,text,NA,NA,NA,NA,NA,NA,Outgroup attitudes,Contact quantity
336,1,r,-0.23,oa,gd,text,NA,NA,NA,NA,NA,NA,Outgroup attitudes,Group discrimination
336,1,r,1,oa,oa,text,NA,NA,NA,NA,NA,NA,Outgroup attitudes,Outgroup attitudes
336,1,r,0.42,oa,pc,text,NA,NA,NA,NA,NA,NA,Outgroup attitudes,Contact quality / Positive contact
336,1,r,-0.28,oa,pd,text,NA,NA,NA,NA,NA,NA,Outgroup attitudes,Personal discrimination
336,1,r,-0.01,oa,pi,text,NA,NA,NA,NA,NA,NA,Outgroup attitudes,Perceived injustice (other)
336,1,r,-0.09,oa,rd,text,NA,NA,NA,NA,NA,NA,Outgroup attitudes,Relative deprivation
336,1,r,0.41,pc,cq,text,NA,NA,NA,NA,NA,NA,Contact quality / Positive contact,Contact quantity
336,1,r,-0.22,pc,gd,text,NA,NA,NA,NA,NA,NA,Contact quality / Positive contact,Group discrimination
336,1,r,0.42,pc,oa,text,NA,NA,NA,NA,NA,NA,Contact quality / Positive contact,Outgroup attitudes
336,1,r,1,pc,pc,text,NA,NA,NA,NA,NA,NA,Contact quality / Positive contact,Contact quality / Positive contact
336,1,r,-0.32,pc,pd,text,NA,NA,NA,NA,NA,NA,Contact quality / Positive contact,Personal discrimination
336,1,r,-0.18,pc,pi,text,NA,NA,NA,NA,NA,NA,Contact quality / Positive contact,Perceived injustice (other)
336,1,r,-0.13,pc,rd,text,NA,NA,NA,NA,NA,NA,Contact quality / Positive contact,Relative deprivation
336,1,r,-0.05,pd,cq,text,NA,NA,NA,NA,NA,NA,Personal discrimination,Contact quantity
336,1,r,0.47,pd,gd,text,NA,NA,NA,NA,NA,NA,Personal discrimination,Group discrimination
336,1,r,-0.28,pd,oa,text,NA,NA,NA,NA,NA,NA,Personal discrimination,Outgroup attitudes
336,1,r,-0.32,pd,pc,text,NA,NA,NA,NA,NA,NA,Personal discrimination,Contact quality / Positive contact
336,1,r,1,pd,pd,text,NA,NA,NA,NA,NA,NA,Personal discrimination,Personal discrimination
336,1,r,0.12,pd,pi,text,NA,NA,NA,NA,NA,NA,Personal discrimination,Perceived injustice (other)
336,1,r,0.11,pd,rd,text,NA,NA,NA,NA,NA,NA,Personal discrimination,Relative deprivation
336,1,r,0.02,pi,cq,text,NA,NA,NA,NA,NA,NA,Perceived injustice (other),Contact quantity
336,1,r,0.05,pi,gd,text,NA,NA,NA,NA,NA,NA,Perceived injustice (other),Group discrimination
336,1,r,-0.01,pi,oa,text,NA,NA,NA,NA,NA,NA,Perceived injustice (other),Outgroup attitudes
336,1,r,-0.18,pi,pc,text,NA,NA,NA,NA,NA,NA,Perceived injustice (other),Contact quality / Positive contact
336,1,r,0.12,pi,pd,text,NA,NA,NA,NA,NA,NA,Perceived injustice (other),Personal discrimination
336,1,r,1,pi,pi,text,NA,NA,NA,NA,NA,NA,Perceived injustice (other),Perceived injustice (other)
336,1,r,0.67,pi,rd,text,NA,NA,NA,NA,NA,NA,Perceived injustice (other),Relative deprivation
336,1,r,0,rd,cq,text,NA,NA,NA,NA,NA,NA,Relative deprivation,Contact quantity
336,1,r,0.09,rd,gd,text,NA,NA,NA,NA,NA,NA,Relative deprivation,Group discrimination
336,1,r,-0.09,rd,oa,text,NA,NA,NA,NA,NA,NA,Relative deprivation,Outgroup attitudes
336,1,r,-0.13,rd,pc,text,NA,NA,NA,NA,NA,NA,Relative deprivation,Contact quality / Positive contact
336,1,r,0.11,rd,pd,text,NA,NA,NA,NA,NA,NA,Relative deprivation,Personal discrimination
336,1,r,0.67,rd,pi,text,NA,NA,NA,NA,NA,NA,Relative deprivation,Perceived injustice (other)
336,1,r,1,rd,rd,text,NA,NA,NA,NA,NA,NA,Relative deprivation,Relative deprivation
401,1,r,1,cq,cq,author,NA,NA,NA,1,1,NA,Contact quantity,Contact quantity
401,1,r,1,cq,cq,author,NA,NA,NA,2,2,NA,Contact quantity,Contact quantity
401,1,r,1,cq,cq,author,NA,NA,NA,3,3,NA,Contact quantity,Contact quantity
401,1,r,0.702,cq,cq,author,NA,NA,NA,1,2,NA,Contact quantity,Contact quantity
401,1,r,0.69,cq,cq,author,NA,NA,NA,1,3,NA,Contact quantity,Contact quantity
401,1,r,0.706,cq,cq,author,NA,NA,NA,2,3,NA,Contact quantity,Contact quantity
401,1,r,-0.102,cq,rd,author,NA,NA,NA,1,1,NA,Contact quantity,Relative deprivation
